nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
15,1,real,129,129,100,13,0.901765
15,2,real,129,129,100,13,1.14833
15,3,real,129,129,100,13,0.906655
15,4,virtual,129,129,100,13,0.901765
15,5,virtual,129,129,100,13,0.901765
15,6,virtual,129,129,100,13,0.901765
15,7,virtual,129,129,100,13,0.901765
15,8,virtual,129,129,100,13,0.901765
15,9,virtual,129,129,100,13,0.901765
15,10,virtual,129,129,100,13,0.901765
15,11,virtual,129,129,100,13,0.901765
15,12,virtual,129,129,100,13,0.901765
15,13,virtual,129,129,100,13,0.901765
15,14,virtual,129,129,100,13,0.901765
15,15,virtual,129,129,100,13,0.901765
