nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
35,1,real,129,129,100,13,0.901765
35,2,real,129,129,100,13,1.14833
35,3,real,129,129,100,13,0.906655
35,4,virtual,129,129,100,13,0.901765
35,5,virtual,129,129,100,13,0.901765
35,6,virtual,129,129,100,13,0.901765
35,7,virtual,129,129,100,13,0.901765
35,8,virtual,129,129,100,13,0.901765
35,9,virtual,129,129,100,13,0.901765
35,10,virtual,129,129,100,13,0.901765
35,11,virtual,129,129,100,13,0.901765
35,12,virtual,129,129,100,13,0.901765
35,13,virtual,129,129,100,13,0.901765
35,14,virtual,129,129,100,13,0.901765
35,15,virtual,129,129,100,13,0.901765
35,16,virtual,129,129,100,13,0.901765
35,17,virtual,129,129,100,13,0.901765
35,18,virtual,129,129,100,13,0.901765
35,19,virtual,129,129,100,13,0.901765
35,20,virtual,129,129,100,13,0.901765
35,21,virtual,129,129,100,13,0.901765
35,22,virtual,129,129,100,13,0.901765
35,23,virtual,129,129,100,13,0.901765
35,24,virtual,129,129,100,13,0.901765
35,25,virtual,129,129,100,13,0.901765
35,26,virtual,129,129,100,13,0.901765
35,27,virtual,129,129,100,13,0.901765
35,28,virtual,129,129,100,13,0.901765
35,29,virtual,128,128,100,13,0.901698
35,30,virtual,128,128,100,13,0.901698
35,31,virtual,128,128,100,13,0.901698
35,32,virtual,128,128,100,13,0.901698
35,33,virtual,128,128,100,13,0.901698
35,34,virtual,128,128,100,13,0.901698
35,35,virtual,128,128,100,13,0.901698
