nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
17,1,real,129,129,100,13,0.901765
17,2,real,129,129,100,13,1.14833
17,3,real,129,129,100,13,0.906655
17,4,virtual,129,129,100,13,0.901765
17,5,virtual,129,129,100,13,0.901765
17,6,virtual,129,129,100,13,0.901765
17,7,virtual,129,129,100,13,0.901765
17,8,virtual,129,129,100,13,0.901765
17,9,virtual,129,129,100,13,0.901765
17,10,virtual,129,129,100,13,0.901765
17,11,virtual,129,129,100,13,0.901765
17,12,virtual,129,129,100,13,0.901765
17,13,virtual,129,129,100,13,0.901765
17,14,virtual,129,129,100,13,0.901765
17,15,virtual,129,129,100,13,0.901765
17,16,virtual,129,129,100,13,0.901765
17,17,virtual,129,129,100,13,0.901765
