nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
21,1,real,129,129,100,13,0.901765
21,2,real,129,129,100,13,1.14833
21,3,real,129,129,100,13,0.906655
21,4,virtual,129,129,100,13,0.901765
21,5,virtual,129,129,100,13,0.901765
21,6,virtual,129,129,100,13,0.901765
21,7,virtual,129,129,100,13,0.901765
21,8,virtual,129,129,100,13,0.901765
21,9,virtual,129,129,100,13,0.901765
21,10,virtual,129,129,100,13,0.901765
21,11,virtual,129,129,100,13,0.901765
21,12,virtual,129,129,100,13,0.901765
21,13,virtual,129,129,100,13,0.901765
21,14,virtual,129,129,100,13,0.901765
21,15,virtual,129,129,100,13,0.901765
21,16,virtual,129,129,100,13,0.901765
21,17,virtual,129,129,100,13,0.901765
21,18,virtual,129,129,100,13,0.901765
21,19,virtual,129,129,100,13,0.901765
21,20,virtual,129,129,100,13,0.901765
21,21,virtual,129,129,100,13,0.901765
