nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
30,1,real,129,129,100,13,0.901765
30,2,real,129,129,100,13,1.14833
30,3,real,129,129,100,13,0.906655
30,4,virtual,129,129,100,13,0.901765
30,5,virtual,129,129,100,13,0.901765
30,6,virtual,129,129,100,13,0.901765
30,7,virtual,129,129,100,13,0.901765
30,8,virtual,129,129,100,13,0.901765
30,9,virtual,129,129,100,13,0.901765
30,10,virtual,129,129,100,13,0.901765
30,11,virtual,129,129,100,13,0.901765
30,12,virtual,129,129,100,13,0.901765
30,13,virtual,129,129,100,13,0.901765
30,14,virtual,129,129,100,13,0.901765
30,15,virtual,129,129,100,13,0.901765
30,16,virtual,129,129,100,13,0.901765
30,17,virtual,129,129,100,13,0.901765
30,18,virtual,129,129,100,13,0.901765
30,19,virtual,129,129,100,13,0.901765
30,20,virtual,129,129,100,13,0.901765
30,21,virtual,129,129,100,13,0.901765
30,22,virtual,129,129,100,13,0.901765
30,23,virtual,129,129,100,13,0.901765
30,24,virtual,129,129,100,13,0.901765
30,25,virtual,129,129,100,13,0.901765
30,26,virtual,129,129,100,13,0.901765
30,27,virtual,129,129,100,13,0.901765
30,28,virtual,129,129,100,13,0.901765
30,29,virtual,128,128,100,13,0.901698
30,30,virtual,128,128,100,13,0.901698
