nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
12,1,real,129,129,100,13,0.901765
12,2,real,129,129,100,13,1.14833
12,3,real,129,129,100,13,0.906655
12,4,virtual,129,129,100,13,0.901765
12,5,virtual,129,129,100,13,0.901765
12,6,virtual,129,129,100,13,0.901765
12,7,virtual,129,129,100,13,0.901765
12,8,virtual,129,129,100,13,0.901765
12,9,virtual,129,129,100,13,0.901765
12,10,virtual,129,129,100,13,0.901765
12,11,virtual,129,129,100,13,0.901765
12,12,virtual,129,129,100,13,0.901765
