nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
20,1,real,129,129,100,13,0.901765
20,2,real,129,129,100,13,1.14833
20,3,real,129,129,100,13,0.906655
20,4,virtual,129,129,100,13,0.901765
20,5,virtual,129,129,100,13,0.901765
20,6,virtual,129,129,100,13,0.901765
20,7,virtual,129,129,100,13,0.901765
20,8,virtual,129,129,100,13,0.901765
20,9,virtual,129,129,100,13,0.901765
20,10,virtual,129,129,100,13,0.901765
20,11,virtual,129,129,100,13,0.901765
20,12,virtual,129,129,100,13,0.901765
20,13,virtual,129,129,100,13,0.901765
20,14,virtual,129,129,100,13,0.901765
20,15,virtual,129,129,100,13,0.901765
20,16,virtual,129,129,100,13,0.901765
20,17,virtual,129,129,100,13,0.901765
20,18,virtual,129,129,100,13,0.901765
20,19,virtual,129,129,100,13,0.901765
20,20,virtual,129,129,100,13,0.901765
